"","X","cluster"
"1312","2019-03-01_4",2
"1317","2019-04-01_4",2
"1322","2019-05-01_4",2
"1327","2019-06-01_4",2
"1332","2019-07-01_4",2
"1337","2019-08-01_4",2
"1342","2019-09-01_4",2
"1348","2019-10-01_4",2
"1354","2019-11-01_4",2
"1359","2019-12-01_4",2
"1365","2020-01-01_4",2
"1369","2020-02-01_3",2
"1375","2020-03-01_4",2
"1380","2020-04-01_4",2
"1385","2020-05-01_4",2
"1390","2020-06-01_4",2
"1395","2020-07-01_4",2
"1401","2020-08-01_4",2
"1406","2020-09-01_4",2
"1412","2020-10-01_4",2
"1417","2020-11-01_4",2
"1423","2020-12-01_4",2
"1429","2021-01-01_4",2
"1435","2021-02-01_4",2
"1441","2021-03-01_4",2
"1447","2021-04-01_4",2
"1453","2021-05-01_4",2
"1459","2021-06-01_4",2
"1465","2021-07-01_4",2
"1471","2021-08-01_4",2
"1477","2021-09-01_4",2
"1483","2021-10-01_4",2
"1488","2021-11-01_4",2
"1493","2021-12-01_4",2
"1499","2022-01-01_4",2
"1505","2022-02-01_4",2
"1511","2022-03-01_5",2
"1516","2022-04-01_4",2
"1521","2022-05-01_4",2
"1527","2022-06-01_4",2
"1533","2022-07-01_4",2
"1539","2022-08-01_4",2
"1545","2022-09-01_4",2
"1551","2022-10-01_4",2
"1555","2022-11-01_2",2
"1573","2023-02-01_4",2
"3","2000-12-01_2",3
"10","2001-01-01_2",3
"18","2001-02-01_3",3
"25","2001-03-01_3",3
"32","2001-04-01_3",3
"39","2001-05-01_3",3
"46","2001-06-01_3",3
"52","2001-07-01_2",3
"59","2001-08-01_2",3
"67","2001-09-01_3",3
"74","2001-10-01_3",3
"81","2001-11-01_3",3
"87","2001-12-01_3",3
"94","2002-01-01_3",3
"100","2002-02-01_2",3
"109","2002-03-01_3",3
"116","2002-04-01_3",3
"122","2002-05-01_3",3
"127","2002-06-01_2",3
"133","2002-07-01_2",3
"140","2002-08-01_2",3
"146","2002-09-01_2",3
"153","2002-10-01_2",3
"160","2002-11-01_2",3
"167","2002-12-01_2",3
"174","2003-01-01_2",3
"182","2003-02-01_2",3
"189","2003-03-01_2",3
"197","2003-04-01_2",3
"205","2003-05-01_2",3
"213","2003-06-01_2",3
"221","2003-07-01_2",3
"229","2003-08-01_2",3
"237","2003-09-01_2",3
"245","2003-10-01_2",3
"253","2003-11-01_2",3
"261","2003-12-01_2",3
"268","2004-01-01_2",3
"275","2004-02-01_2",3
"282","2004-03-01_2",3
"291","2004-04-01_3",3
