date,article count,entropy,Unclassified,Unclassified-Sentiment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic-Sentiment 1,Topic-Sentiment 2,Topic-Sentiment 3,Topic-Sentiment 4,Topic-Sentiment 5,Topic-Sentiment 6,Topic-Sentiment 7
19980401,207,2.296328327941457,0.03339555404717461,-0.0006448328525369075,0.12281179279885802,0.49252147568855736,0.025068276407492422,0.029218493952076166,0.2561339730817937,0.0057091757159634295,0.03514125830808423,-0.002312641254365926,-0.00888954487832747,-0.0003161126468540046,-0.00011825665143160433,-0.0028579127167329974,-3.1025429054995764e-05,-0.00023778488920956001
19980402,210,2.31830057189374,0.03687150837988827,-0.0002957607624055205,0.09008095271153022,0.48949600003825944,0.02780888448909741,0.030354819157483833,0.28773198265912053,0.004158102768697403,0.03349774979592283,-0.0010693798158298462,-0.007370897978128953,-0.00016188777252809398,-0.00021670775804060821,-0.0030717786186011,-6.393496338062795e-05,-0.000763125876928146
19980403,205,2.3012524940611003,0.04889920623034297,-0.0011607009135839441,0.06666027302673548,0.49055125304975933,0.04300250659808173,0.018951018451929508,0.2808711298262225,0.006982260500177293,0.044082352316751124,-0.0005774919938831477,-0.00516208069805508,-0.0010249193313835695,-0.00016124900946330544,-0.0026988628881526437,-7.044417121840547e-05,-0.0006389342352363758
19980406,191,2.3130884567784062,0.04395390989124806,-0.0007444329363024327,0.05769729968630896,0.4482921688751702,0.018077870668570247,0.016262355606445456,0.36494519729762426,0.013854385962443429,0.03691681201218935,-0.000219905957167504,-0.005702170261994933,-0.00012372928830879567,-0.00014286512943296987,-0.006344889521212548,-0.0005640592281539186,-0.00033454011657758524
19980407,183,2.3162988385819325,0.04232110057352776,-0.000524796641301495,0.0470429598225111,0.4967252447306838,0.04435216414824111,0.013140678163593196,0.2902835243187927,0.019800440154115605,0.046333888088534746,-0.0007074525991185883,-0.011274382344553397,-0.0005419049046001669,-4.3309483700245515e-05,-0.005028875281045199,-0.00020210242124250413,-0.0009447101550790094
19980408,214,2.315381528824054,0.02022285151440532,-0.0006156119182467369,0.10718075635516656,0.5518246927059487,0.022974231793505162,0.04148104144440737,0.2085670588387732,0.01151837381714567,0.036230993530648126,-0.0016539423433277294,-0.00973033606325509,-0.0005186262982222773,-0.000632495616563006,-0.002266570902711679,-0.00016522584162943625,-0.000607784465933212
19980409,189,2.3136975109481326,0.04582182320441989,-0.0010359116022099432,0.038196272479746114,0.48766253969214923,0.014300436796552126,0.01273056551026164,0.3608446750441122,0.0027641279454124748,0.037679559327346304,-0.0001990274524012999,-0.008727720360776221,-9.638736417051335e-05,-5.20288935344184e-05,-0.00934643940793115,-1.2543089200547714e-05,-0.00010867111154384098
19980410,91,2.297914294584591,0.16051081631529696,-0.005944845048714697,0.04598006065087144,0.3947398905879531,0.029123863104157034,0.0008649906816912923,0.280234545046311,0.044246202857876546,0.04429963075584256,-0.0004008159643653674,-0.01026207107845447,-0.0007763270115337043,-7.863551651738944e-06,-0.008645202920123633,-0.00043446250570574035,-0.0001150800539802577
19980413,116,2.3365113205113364,0.06996904024767801,-0.0018575851393188834,0.059032725581365623,0.5019936364105069,0.024669660039103206,0.03728108854555001,0.28069347205409073,0.004615817618913594,0.02174455950279198,-0.0007881444474749843,-0.009713421987701724,-8.121054027404424e-05,-0.00020279378434828974,-0.004326985789571445,-1.8763486255746178e-05,-0.0001796847490627386
19980414,35,2.3380318049245683,0.00701508242721852,0.0,0.03100701201309942,0.4536868679136974,0.048281224344390083,0.018695194668537356,0.30632668210837916,0.007910236174441716,0.1270777003502363,-0.0003414803082278938,-0.006021405621845902,-0.00028908953466818567,-7.01508242721847e-05,-0.006112888865362595,-0.00010961066292528907,-0.0012609160978154304
