date,article count,entropy,Unclassified,Unclassified-Sentiment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic-Sentiment 1,Topic-Sentiment 2,Topic-Sentiment 3,Topic-Sentiment 4,Topic-Sentiment 5,Topic-Sentiment 6,Topic-Sentiment 7,Topic-Sentiment 8
20020201,117,2.311273624178161,0.00685778527262507,-0.00018737118231216038,0.40459795585971775,0.0436650344455416,0.19020403000558184,0.14458492145154817,0.13054671083722366,0.027977337635805198,0.013982568158480112,0.03758365633347661,-0.006767137168056642,-0.0005944797421460008,-0.0037039184659081407,-0.00402549089413476,-0.0018809652985024292,-0.0002152543115114104,-4.388008884917222e-05,-0.0008314560057836806
20020204,170,2.3352217306882603,0.04049058300444622,-0.0022980466603387097,0.3358464226613332,0.03777967573944774,0.16813637972841072,0.17932366959029689,0.14414996368308572,0.02105694449289042,0.014974254878643034,0.058242106221446,-0.005344243082349108,-0.00015584515785777822,-0.005022684841922987,-0.007473965143246633,-0.0029936957727365555,-0.00045168997066927127,-5.018276207966185e-05,-0.0017879050890910184
20020205,218,2.315693223273208,0.020167875726385353,-0.0005887044703558811,0.3528827883080441,0.03935790675273599,0.12091352267268057,0.20907849846518628,0.16440479758425908,0.02504375077257703,0.008945150094240161,0.05920570962389139,-0.0052415644979225675,-0.0003586609464125618,-0.002531582488092639,-0.00779824425006102,-0.0029325939535893757,-0.00031161758119347977,-0.0001251165370548026,-0.0013052762081293748
20020206,195,2.2985313535258802,0.007842029804057871,-0.00017378459399574215,0.36511896952370226,0.05955929907169199,0.15665424427980298,0.16764453678803642,0.15730983571591173,0.036685779312722246,0.013180062033774066,0.03600524347030042,-0.006401314784826279,-0.000544759797284051,-0.003034061498598065,-0.005267316088422441,-0.0032520538723695308,-0.0005250919590357485,-1.1175558748907294e-05,-0.0006236086364832927
20020207,202,2.3000041354268776,0.004915197029786516,-0.0002531431946671166,0.3052111152656681,0.05077555185796874,0.16521344536158028,0.21604630064632402,0.17587694402343176,0.028896838763178848,0.013745257572595537,0.03931934947946609,-0.005583116508939536,-0.0005797802457423505,-0.0045740621536960804,-0.008925064903169903,-0.0034697146547028913,-5.8465414556977176e-05,-6.348994740413812e-05,-0.0008792907300532173
20020208,169,2.2503412058696264,0.01643215830557351,-0.0003977526972604776,0.36361502178037053,0.03975399418944499,0.1688255746724649,0.1872104708635019,0.15488531596261326,0.019476959316496678,0.0163259227716441,0.033474582137890015,-0.006745284197620204,-0.0005484472991070308,-0.0033485797645074807,-0.0061029023455666746,-0.002473630795209351,-9.60814609169751e-05,-0.00021211713105998443,-0.0014295522429237297
20020211,170,2.3029451339091533,0.036607252612169634,-0.0009588199139520576,0.3603885139368632,0.02500601336337806,0.15530386096893517,0.20532511412350435,0.15280974817388487,0.03355568241270905,0.0074529308147660185,0.023550883593789637,-0.009206489988201151,-0.00044295808070256006,-0.005129692432731763,-0.007294003630458376,-0.003996270053693409,-0.00042023651510617716,-0.00017700899125751762,-0.0007703409224771636
20020212,161,2.307981926996346,0.021876506185401382,-0.0008032988807368911,0.3477649699213425,0.02991881213247441,0.17149479341022006,0.1935116670051309,0.16508370716026247,0.0291373523577791,0.004631623276915107,0.03658056855047403,-0.0056761475568195335,-0.00037118038450027334,-0.0029136175562745033,-0.006058635397928044,-0.002644729998123978,-0.0003810349848833685,-9.209000653736115e-05,-0.0008739709590393723
20020213,196,2.285796214379225,0.027946317807601217,-0.0007217773767903451,0.29140965908776617,0.026159672704387973,0.18460130279546566,0.17885369317562025,0.20221761613365324,0.033888469741974826,0.004967919162702861,0.049955349390827714,-0.0058900938342387665,-0.00023424185599214508,-0.004407513730048516,-0.005807275149366925,-0.003914378724077949,-0.0006828237200960336,-8.242171346941837e-05,-0.0015142387543838334
20020214,195,2.2521339618991747,0.00894786188903836,-0.00012229423994129855,0.33094591377074484,0.03443084739443351,0.17639354981756566,0.21508872874356377,0.17602909942247716,0.022202494808875022,0.004577589871707519,0.0313839142815941,-0.005300956600984376,-0.00048144657161133385,-0.002996779479004471,-0.00609936193840272,-0.002756206897807832,-0.0001801638353064189,-2.4167671226494716e-05,-0.0004642882502040355
