energytag,
NRG,
CO2,
COA,
COAPWR,
NGS,
PETC,
GASPWR,
LNG,
NGL,
SHL,
PLAS,
CRU,
PROD,
OPEC,
AMCRU,
ASCRU,
EMACRU,
RUSCRU,
CANCRU,
LATCRU,
USCRU,
AUSCRU,
NASCRU,
SEACRU,
AFRCRU,
MECRU,
NSCRU,
RFO,
MOG,
LPG1,
DISTLL,
NAP,
BUN,
HOIL,
JET,
PWR,
COAPWR,
GASPWR,
NUCPWR,
OILPWR,
RNWPWR,
RNW,
BIOPWR,
GEOPWR,
HYDPWR,
SOLPWR,
TWPWR,
WINPWR,
BIOF,
BIODSL,
BIOETH,
BIOMS,
BIOCEL,
REF,
PPL,
PWRL,
ENER,
COAM,
OILG,
OILI,
EXPL,
REFI,
ENEQ,
DRIL,
OGTR,
OILQ,
RENE,
RENQ,
RENF,
ASIAE, 
NASIAE,
SEASIE,
PACE,
SASIAE,
AMERSE,
CAMERE,
NAMERE,
ERCOT1,
FRCC1,
MRO1,
NPCC1,
RFC1,
SERC1,
SPP1,
WECC1,
PADD1,
PADD3,
PADD2,
PADD4,
PADD5,
SAMERE,
EMEAE,
CEEUE,
FSUE,
NWEE,
MEASTE,
OAFRE,
MEDNAE,
