,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,1.4499363838624884,-1.055922031402588,-0.007059874,,,,,
2003-05-02,1.3524698089450051,-1.055922031402588,0.04793461,,,,,
2003-05-09,-0.9999589697854638,0.6492759585380554,0.19079332,3.0,3.0,3.0,3.0,3.0
2003-05-16,-1.0103343069315207,0.6492759585380554,0.18740787,2.0,2.0,2.0,2.0,2.0
2003-05-23,-1.0434141335134526,0.6492759585380554,0.18075824,2.0,2.0,2.0,2.0,2.0
2003-05-30,-1.063867648868913,0.6492759585380554,0.17449927,2.0,2.0,2.0,2.0,2.0
2003-06-06,-3.1504133222069273,2.51300311088562,0.030088745,1.0,1.0,1.0,1.0,1.0
2003-06-13,-3.1375225474886124,2.51300311088562,0.0161179,2.0,2.0,2.0,2.0,2.0
2003-06-20,-3.1209567863964,2.51300311088562,0.0057078167,2.0,2.0,2.0,2.0,2.0
2003-06-27,-3.089720238894531,2.51300311088562,0.0028586406,2.0,2.0,2.0,2.0,2.0
2003-07-04,-3.0527470282153817,2.51300311088562,-0.03506162,1.0,1.0,1.0,1.0,1.0
2003-07-11,-0.13419934331239397,2.5791091918945312,-0.16106692,1.0,1.0,1.0,1.0,1.0
2003-07-18,-1.0011400091173699,2.5791091918945312,-0.13592106,1.0,1.0,1.0,1.0,1.0
2003-07-25,-0.9425042964983719,2.5791091918945312,-0.12810864,1.0,1.0,1.0,1.0,1.0
2003-08-01,-0.8734691544929909,2.5791091918945312,-0.13881204,1.0,1.0,1.0,1.0,1.0
2003-08-08,-0.1710752428244637,-2.0404164791107178,-0.15912418,1.0,1.0,1.0,1.0,1.0
2003-08-15,-0.12523952828486454,-2.0404164791107178,-0.14325309,1.0,1.0,1.0,1.0,1.0
2003-08-22,-0.06532526327919172,-2.0404164791107178,-0.12602252,1.0,1.0,1.0,1.0,1.0
2003-08-29,0.31584666913347237,-2.0404164791107178,-0.14430912,1.0,1.0,1.0,1.0,1.0
2003-09-05,0.310665235185246,-2.0404164791107178,-0.15445659,2.0,2.0,2.0,2.0,2.0
2003-09-12,0.8032901380422316,14.043880462646484,-0.12569875,2.0,2.0,2.0,2.0,2.0
2003-09-19,0.8196119298154044,14.043880462646484,-0.11876703,2.0,2.0,2.0,2.0,2.0
2003-09-26,-0.4417871579550118,14.043880462646484,-0.11559769,2.0,2.0,2.0,2.0,2.0
2003-10-03,-0.6109865892442212,14.043880462646484,-0.085624814,2.0,2.0,2.0,2.0,2.0
2003-10-10,-1.1145231031956333,13.274052619934082,-0.045210514,3.0,3.0,3.0,3.0,3.0
2003-10-17,-1.0997421160956689,13.274052619934082,-0.020759644,3.0,3.0,3.0,3.0,3.0
2003-10-24,-0.9062302356762715,13.274052619934082,0.028076414,3.0,3.0,3.0,3.0,3.0
2003-10-31,-0.6568959368623737,13.274052619934082,0.12504813,3.0,3.0,3.0,3.0,3.0
2003-11-07,-2.929784905438498,-0.4056816101074219,0.1324791,3.0,3.0,3.0,3.0,3.0
2003-11-14,-2.950303913471607,-0.4056816101074219,0.18547587,3.0,3.0,3.0,3.0,3.0
2003-11-21,-2.8949540806319187,-0.4056816101074219,0.23218237,3.0,3.0,3.0,3.0,3.0
2003-11-28,-2.733343067266905,-0.4056816101074219,0.28373128,3.0,3.0,3.0,3.0,3.0
2003-12-05,-2.555265216105081,-0.4056816101074219,0.23401983,3.0,3.0,3.0,3.0,3.0
2003-12-12,2.201316812449241,1.7905967235565186,0.013819053,1.0,1.0,1.0,1.0,1.0
2003-12-19,2.006371336384705,1.7905967235565186,0.010638283,1.0,1.0,1.0,1.0,1.0
2003-12-26,2.8162683736061447,1.7905967235565186,0.008320442,1.0,1.0,1.0,1.0,1.0
2004-01-02,2.2712421954730733,1.7905967235565186,-0.08124995,1.0,1.0,1.0,1.0,1.0
2004-01-09,5.454100540260285,7.477557182312012,-0.2765428,2.0,2.0,2.0,2.0,2.0
2004-01-16,2.151352577979188,7.477557182312012,-0.2673458,1.0,1.0,1.0,1.0,1.0
2004-01-23,2.1496797263414797,7.477557182312012,-0.25565016,1.0,1.0,1.0,1.0,1.0
2004-01-30,1.6058969542882902,7.477557182312012,-0.28608814,1.0,1.0,1.0,1.0,1.0
2004-02-06,2.9403571878510046,1.9048194885253906,-0.3327419,1.0,1.0,1.0,1.0,1.0
2004-02-13,3.0623695743950448,1.9048194885253906,-0.28656778,1.0,1.0,1.0,1.0,1.0
2004-02-20,1.7752532872846287,1.9048194885253906,-0.24106936,1.0,1.0,1.0,1.0,1.0
2004-02-27,0.6674696302039705,1.9048194885253906,-0.2330185,2.0,2.0,2.0,2.0,2.0
2004-03-05,0.7613820141963688,1.9048194885253906,-0.20000823,2.0,2.0,2.0,2.0,2.0
2004-03-12,2.7534760095041846,1.5382026433944702,-0.20964542,2.0,2.0,2.0,2.0,2.0
2004-03-19,2.776940991124567,1.5382026433944702,-0.1868498,2.0,2.0,2.0,2.0,2.0
2004-03-26,2.25168659843635,1.5382026433944702,-0.16190915,3.0,3.0,3.0,3.0,3.0
2004-04-02,1.7369888474917994,1.5382026433944702,-0.17895213,2.0,2.0,2.0,2.0,2.0
2004-04-09,1.6065131773751153,5.676189422607422,-0.2584271,3.0,3.0,3.0,3.0,3.0
