,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
FutRet,"[1.4612111357177548, 7.457233106490079, 3.0267177794070954]","[6.34101104525927, 6.832919632447709, 4.902035670624172]","[3.6076222955143566, 6.943588986457239, 5.556498082304295]","[10.949610213531946, 7.271715768524811, 6.744704365995624]","[7.281238127497536, 6.938978751362868, 6.324040583169399]","[10.973595445515272, 6.756362507627611, 5.672351758586469]","[10.67908426636559, 7.1410480120551405, 4.782434487675735]","[10.679277360684969, 8.782828025025458, 4.966306178899915]","[5.762207909640294, 8.3632295001986, 4.820579237002143]"
DSpot,"[1.4569465564081563, 13.681288299431515, 5.856232615749846]","[4.434996142340641, 13.542340324095958, 8.798869650144026]","[1.4802850683204527, 13.555177977258403, 11.258236702359204]","[3.4260646194164357, 12.925425530096934, 10.66806717007741]","[3.881257853668152, 14.474899571359812, 10.901156785638111]","[5.377615335297136, 15.54774838043792, 10.730267576209918]","[6.7718042896402375, 15.787951721171712, 10.6326913327908]","[2.992088034882834, 15.65725414506649, 10.446479287094434]","[1.3205687571689273, 14.579237497564879, 10.300739287231709]"
DOilVol,"[0.0, 20.328093829221316, 11.55255287647261]","[0.0, 9.170067503196988, 7.374758233864975]","[0.0006477945941552044, 12.196176961925998, 10.28195982198139]","[0.0, 3.4771016019623513, 0.9236650102194988]","[0.0, 7.22586929968958, 0.4941925355418264]","[0.22537022171047472, 6.233665065493166, 0.5048440667682619]","[0.6239971715286785, 4.048092250649105, 0.595705193587337]","[0.8801994298789584, 4.680350507057418, 0.5645590466786365]","[0.12172218712280802, 2.194964496518159, 0.8839082624961137]"
xomRet,"[4.872567051486998, 3.2651394262967592, 2.0268661477627514]","[4.818428757212912, 1.816180188094596, 2.2872440868749955]","[2.792322839931627, 2.2884566198802636, 0.6494974072134507]","[3.0501428533692976, 2.569430449763077, 1.2074785783235842]","[6.6616045250662115, 2.854482107940337, 0.5396947592722023]","[1.3987651302182935, 2.215058934774339, 0.7916632106346855]","[1.268270962608442, 2.261292060172304, 3.834658740532415]","[2.053301352677739, 1.0461169787361446, 2.5264119738607094]","[2.1411841826336153, 1.0285631558201946, 1.7579502114215884]"
bpRet,"[0.05760882484466823, 6.906167399322793, 2.3500645717301483]","[1.5062016223823527, 1.7762153120391644, 4.7798930974967675]","[1.4279561993212675, 2.260610953684461, 4.526700857133226]","[1.2785663333995334, 2.1961553012012858, 4.300091453597177]","[1.2031156051995007, 0.5705060244644011, 2.890560641496598]","[0.5317647303823669, 1.5996997272146651, 3.075745491822146]","[0.3892209513186362, 1.0844129658648782, 1.6331100016907851]","[0.46028666734057033, 2.486033245675068, 0.48269702738131803]","[0.39698838785574564, 2.9169787191086205, 0.2986569771221359]"
rdsaRet,"[0.18754602539275966, 2.440941812350794, 0.6676993674450071]","[0.6662782049037475, 0.0, 0.14764001681876193]","[0.8634004592844913, 0.4331745181201496, 1.0822835094161154]","[2.755020165325739, 0.0, 1.8940946475394793]","[1.7316585035113352, 0.5016990575225644, 2.4869650654857467]","[1.7794672626340269, 0.09719750049466125, 1.304800874977008]","[4.679112870329005, 0.13302310979372844, 1.9529868624291846]","[5.72033110300989, 0.0, 1.4110236677904453]","[3.9430882716599336, 0.06604314882270312, 1.2081473479461202]"
DInv,"[2.996977992356209, 0.036466309485549964, 2.063489471958757]","[4.800865423136491, 0.3224480582881051, 1.1382272649079428]","[3.3911616273688105, 0.15355084535458863, 1.1928107687438017]","[5.841562921749732, 0.06824165678900318, 0.676802642405816]","[4.587188372610306, 0.14756106469288044, 0.8160868403547017]","[2.180896862196169, 0.22665590357020537, 0.47251254065899806]","[3.7539506838361714, 0.23451136669816464, 0.7685955327638272]","[4.591152530316545, 0.2535414062591501, 0.6120401146370025]","[4.352599641439825, 0.32292426323138335, 0.4571707241367129]"
DProd,"[3.6661290291537085, 0.5543107112530254, 0.0]","[3.0354507687141874, 0.18747464318101814, 0.40051238628465713]","[4.209557438579115, 0.07450840157166017, 0.06224344660160641]","[2.7404267260004223, 0.26180462748705, 0.031645457963080936]","[3.0847571975488153, 0.4148373607024136, 0.08603018619880443]","[2.7344740733642348, 0.0, 0.5839004919951596]","[2.1761098143208035, 0.24242870970566655, 0.4293516223150995]","[2.128649087299894, 0.4256340727520791, 0.27363098020755094]","[2.0625957734226263, 0.9006601999066444, 0.2736209355162278]"
