,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
FutRet,"[4.8840898231155006, 8.401091457526821, 5.206684576259768]","[8.233720229393782, 8.187401663828965, 7.179362171233716]","[5.473783262200094, 7.634579031019961, 7.399146809035306]","[12.15850630102333, 7.112755085090217, 7.303964466617696]","[8.992935482997765, 7.809335949750118, 5.980242770537725]","[11.861859871527914, 10.140995627268524, 5.370655632027477]","[11.74508625539865, 12.560208777076154, 4.469052903183302]","[11.96951986346958, 13.843289452992702, 4.518082762412057]","[8.275798307872739, 13.090101814323607, 4.683662381016063]"
DSpot,"[1.3133914906385158, 11.192773073737438, 7.767266125606409]","[4.303083391471551, 11.176809598908942, 8.95145254188574]","[0.5365913072430284, 11.180919472974459, 10.240785575580148]","[3.684901512968153, 8.28318977598741, 7.718654802448254]","[3.6597113109444024, 9.369146010357888, 8.010244220278306]","[4.6039042364409255, 9.560215021344021, 7.652588706491303]","[4.788411388213798, 9.916422622558708, 6.602387840945346]","[2.3171487121061984, 9.982209129373087, 6.501857087792673]","[1.3497025357375847, 9.169172830681848, 6.481180012027698]"
DOilVol,"[0.0, 31.234079206079947, 24.531338387943556]","[0.0, 24.89906563705877, 21.46486886435194]","[0.0, 26.248991039915758, 25.231078383676596]","[0.0, 22.82544742275071, 24.579618995051987]","[0.0, 21.07287084924717, 18.813105992273705]","[0.0, 19.954223914673406, 18.169175282420603]","[0.0, 20.155393693037237, 18.86793425503389]","[0.22003701600735726, 20.51154680794276, 19.61938015792096]","[0.0, 22.417015627632818, 21.206332328414902]"
xomRet,"[0.7917220381904899, 3.6663726995048385, 2.3574660987071283]","[0.43307700211629996, 2.51871982885723, 1.806170666770801]","[0.25626497293946837, 3.5877377412229516, 0.658771302014105]","[1.9664311547350488, 3.668004174039119, 1.5646361872571513]","[6.234689505709579, 4.494253757089717, 0.9247531794198016]","[0.9850632053168829, 4.2104614258151045, 0.9483044167058696]","[0.5941152054344978, 3.2568726247421687, 0.7049898049013681]","[0.6533901925738439, 2.255015369500757, 0.7564292907640158]","[0.6928592145392876, 1.9490786109671254, 0.6068088400833838]"
bpRet,"[0.22626645477740182, 6.2765970043681785, 1.8880196545643768]","[1.2893467552418048, 1.8711128676322963, 4.402170023840279]","[0.9666182147971214, 1.5066076206960877, 3.9124063276856136]","[0.839998521219798, 1.3856588997634312, 3.176044798314559]","[0.570751459188612, 0.528995822495848, 1.9348124624637197]","[0.3360669612473721, 0.9807900495074406, 1.3965759848618475]","[0.1246235035257004, 1.1420920151246294, 1.7893251656925568]","[0.1580351688851067, 0.39967728464347374, 3.589253604042286]","[0.09960933892347867, 0.7536480182125493, 3.597619544602104]"
rdsaRet,"[0.4501416342261422, 2.6793862700120297, 1.6307670975463595]","[0.0, 0.647607818098328, 0.3210683363557232]","[0.0, 0.12009445584962863, 0.9685829716901573]","[0.5429055108856828, 0.8665630976155136, 2.1000913354291995]","[1.1956271789824613, 0.31124194090471624, 2.506657641929755]","[0.3699559448293144, 0.017500960189165138, 1.2780218904633989]","[1.7811052908468294, 0.022082472666595798, 1.570545723361072]","[2.3421949333425007, 0.0, 1.1530460943205423]","[1.8442811834262662, 0.8956124956250533, 1.109508643599233]"
DInv,"[7.578861261216008, 0.4008407820840998, 2.0480572535933717]","[8.699242804830675, 0.14036395436595184, 1.4410002757869855]","[6.39778036234695, 0.7670409399907374, 0.7614033717001534]","[9.789001968275956, 0.6410942830990196, 0.7531904156467428]","[8.545376006131155, 0.4387566252895936, 1.1471612289162603]","[2.990904305100084, 0.36485283214395814, 2.0436273674948158]","[4.4209773991048635, 0.5430637091861312, 2.4229839501249906]","[5.627462570511089, 0.526980641531638, 2.1707080981773985]","[5.6356685270028795, 0.6757920883310176, 1.7639620815098178]"
DProd,"[3.1087642998537612, 0.9090132414446339, 0.10435660588637985]","[3.4677877986115657, 0.801592242416771, 1.5916196414354933]","[2.8162727359252404, 0.9115060856137225, 0.8345134057349601]","[1.6752222868368638, 2.2969545148490145, 0.8039044074855783]","[1.9311516551716035, 3.34924014023813, 0.8300626599920147]","[3.136954945472703, 0.07056013222755952, 1.8326597803436595]","[4.2135331716291695, 0.3212666189460367, 1.6087798799099273]","[3.641112547855452, 0.5445229357411208, 1.4559620445394827]","[3.005287395338052, 1.0234313622460967, 1.3990408489151007]"
