,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
FutRet,"[19.104819893324333, 9.979012127089282, 11.660427534998863]","[12.767392054908012, 10.163984071645615, 11.93973114677096]","[19.33528319860226, 11.269020041550771, 12.13200482046297]","[16.91326368099919, 9.354027279560562, 14.176968556915048]","[17.316678344126014, 12.844801001302454, 16.213490742457882]","[13.769711871072953, 16.28594327997338, 16.719182411772447]","[14.71476638496858, 21.76428050139704, 18.579398516258482]","[14.77115238329998, 20.114118039496898, 16.3194299816254]","[15.962830741099488, 16.778623300713313, 14.163575125741923]"
DSpot,"[2.0278875652889106, 8.84052687281961, 10.806517230207769]","[3.751796088252801, 8.983684641340872, 9.777093556835192]","[3.8774299677744706, 9.130121884184451, 9.253310557961647]","[4.1358904623195585, 12.447362015296637, 12.662969654063549]","[3.3594653517401096, 10.941755261558994, 11.244777672415808]","[3.58305296056759, 10.59223707735607, 10.629456695759298]","[3.2164172559024817, 14.168466057690177, 11.210158010865301]","[2.036781654536468, 13.711224206056706, 10.80502663147007]","[3.249598630077788, 11.459724968922592, 11.944437312835687]"
DOilVol,"[0.0, 38.842056405098766, 32.722697325505756]","[0.9318345160001629, 37.21494658939232, 33.21711801235621]","[0.0, 32.08127506675793, 34.964601318692566]","[0.6492513156656887, 30.472182261551417, 37.988814704820214]","[0.6297176634394441, 30.74768641964343, 30.408395773908502]","[0.10536799544592634, 28.734315117896337, 42.00720166882731]","[0.4130667853926684, 28.67463331826865, 38.33072239593457]","[0.4684166006967527, 37.92078506242983, 49.54077204765379]","[0.0, 68.96154285789781, 56.42952119792369]"
xomRet,"[3.904836194158434, 5.329739747309659, 4.017805383219786]","[5.536407296747193, 4.097667290592655, 3.1735208484239497]","[0.3720475030991377, 6.158873579795488, 2.6672480670876575]","[0.4705069229646419, 6.25993568827885, 6.308265233047495]","[4.844834212036753, 7.9966679717838325, 6.236323196783877]","[3.354847230460356, 8.15009933659292, 6.556230239009675]","[1.106297677359036, 10.514185813551592, 6.911430701649335]","[1.824295885187066, 10.914805504612024, 6.697356591815851]","[1.5241957642238013, 11.80650802974007, 7.706076914598725]"
bpRet,"[6.21637534449474, 1.7639216887771925, 5.327241891445356]","[5.147061136093745, 3.6480463392140505, 7.238019061512668]","[5.407096645053688, 10.73361179336617, 8.185624090606215]","[5.792885863576203, 12.380987914990826, 8.1950890900907]","[5.904343275985225, 9.756266128066615, 7.368068476564393]","[4.558144606804937, 8.323450446765712, 4.693911239477588]","[2.5734039278374365, 8.277640959876742, 2.4533184538776065]","[3.3306300749813333, 10.84233251816521, 6.803504676061312]","[4.329848775943135, 13.096346821304417, 6.839252371691584]"
rdsaRet,"[0.13402532209886298, 13.315091504839561, 3.4457372747376036]","[0.30439346908681664, 16.47529223207923, 4.4875602040955975]","[0.0, 14.978461575847001, 4.7822181751119075]","[0.0, 14.275839495763432, 5.479351475590555]","[0.12275000370799427, 14.132225583482661, 4.251329669594206]","[0.08263986131359369, 13.747093167373892, 4.767920064143927]","[0.10677043581396317, 12.806933701506551, 3.592468500704604]","[0.17567719742439536, 13.810720446454683, 5.7309006366044635]","[0.3019897323038534, 15.354354219068501, 5.973938478177376]"
DInv,"[19.04273833700818, 11.096227070713105, 19.6491112306052]","[21.135406983349338, 4.767257204917641, 19.77654741238669]","[14.958988567364218, 13.895400330071695, 5.750914259093687]","[17.3099296463067, 5.4563052382724635, 11.047208374282814]","[15.875205535859749, 3.4704579749877618, 11.05532994118984]","[17.769908223195273, 4.010037296995728, 28.51968095972547]","[10.721521062831286, 10.214476665059424, 24.826654165859185]","[5.161735115359356, 10.760840002994199, 28.438127282171287]","[5.473208932766216, 6.912946650096707, 22.256788616069535]"
DProd,"[2.988847143257689, 15.98367229349279, 27.753967483676146]","[0.8649051351321435, 21.898919761313195, 27.684426556405096]","[6.412919384441218, 24.710757888427317, 23.502428917751374]","[5.5845638572673995, 36.456678611868476, 22.324678043019517]","[2.690091476130063, 38.54129881442188, 18.090259852995526]","[3.5095332778275257, 37.015262512544325, 18.24817675765361]","[2.911574901910574, 38.272960001837234, 16.592385041792713]","[0.6485959943295927, 34.81290980609183, 16.207227362604748]","[0.18061100393893526, nan, 14.150820210437976]"
