"","E_wti_fut_tr","E_sptr","E_ustreas","E_us6mo_tr","E_energy","r_wti_fut_tr","r_sptr","r_ustreas","r_us6mo_tr","r_energy"
"2009-11-02",-0.054329440335351,-0.0165771998133957,0.0579593468114578,0,0.131658679718423,-0.25184251326448,0.229846079991463,0.0438684928343123,0,0.389118482708914
"2009-11-03",-0.0509023923773301,-0.0296660175844406,0.0569187847230187,0,0.113779719729639,-0.181459056206469,0.32256491032246,0.0406816178879605,0,0.519957647912506
"2009-11-04",-0.0401103413545944,-0.0305737625762334,0.055117445004427,0,0.122830845883764,-0.10969395753143,0.281450382108229,0.0355669456657369,0,0.514628842438279
"2009-11-05",-0.0474242202073079,-0.0176678503214163,0.0569435416077504,0,0.144365308823218,-0.145986048440874,0.307029728788421,0.0391173499433178,0,0.498674153706388
"2009-11-06",-0.0594203665290798,-0.0349905474813092,0.0565563049251082,0,0.115545062284201,-0.204820405221753,0.262026784606338,0.0390114324486238,0,0.395245670796803
"2009-11-09",-0.0375377456399425,-0.0193032526460453,0.0556420247482297,0,0.129490422363529,-0.149349972648631,0.315363492466309,0.0312688854802979,0,0.451520097030019
"2009-11-10",-0.0443192826359451,-0.0261444372451923,0.0567451142356436,0,0.119895142494955,-0.0791168191309695,0.37642386607356,0.0280452856628705,0,0.546035331527094
"2009-11-13",-0.0558582168635169,-0.0273897146642698,0.0566335888644474,0,0.115639044897497,-0.103408433956618,0.369561284434373,0.0245007095622182,0,0.506050858393391
"2009-11-16",-0.0426834351898933,-0.0211904493452567,0.0580248802755412,0,0.116718400630376,-0.0165356563100986,0.41879166214542,0.0352137338084229,0,0.575267310874706
"2009-11-17",-0.0207821562003483,-0.0232234847867694,0.056072115142123,0,0.111601739793375,0.000297364279466028,0.451643936789355,0.0368969587871073,0,0.62961960788301
"2009-11-18",-0.0086198547643946,-0.0275210672081414,0.0550873978870895,0,0.116327592656051,0.0128403875199002,0.343488652408387,0.0388333576180266,0,0.53728528932405
"2009-11-19",-0.0477744913972128,-0.030675600840282,0.0549488938168724,0,0.0819865317077376,-0.0887738008784222,0.341039236633737,0.042296363234536,0,0.438593700614735
