"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,DInv,0,PCAfreq,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,trend,0,sBbl,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,BasMom,0,DInv,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,BasMom,0,entropy,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,BasMom,0,fEnv,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,BasMom,0,sEnv,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,OpenInt,0,tnote_10y,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,trend,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,BasMom,0,fGom,1
1.0,0.0,1.0,0.0,1.0,1.0,1.0,3,5->7,BasMom,0,liquidity,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,BasMom,0,artcount,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,sGom,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,basis,0,trend,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,BasMom,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BasMom,0,basis,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,BasMom,0,fEp,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,BasMom,0,sBbl,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,trend,0,DInv,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,Mom,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,fEnv,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,sEp,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,BasMom,0,PCAall,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,BasMom,0,sRpc,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,fBbl,1
1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1->3,tnote_10y,0,PCAall,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,1->3,tnote_10y,0,PCAsent,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,tnote_10y,0,sent,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DolBeta,0,trend,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,DolBeta,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,xomRet,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,fEp,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,BasMom,0,PCAsent,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,3,1->3; 5->7,tnote_10y,0,sCo,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,fGom,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,StikIdx,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,bpRet,0,tnote_10y,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,sp500Ret,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,DSpot,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,FutRet,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,HedgPres,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,tnote_10y,0,WIPI_8wk,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,liquidity,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,DOilVol,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,vix_diff,0,tnote_10y,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,tnote_10y,0,rdsaRet,0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1->3,tnote_10y,0,sRpc,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,tnote_10y,0,basis,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,tnote_10y,0,PCAfreq,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,DProd,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,BEME,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1->1; 3->3; 7->7,tnote_10y,0,artcount,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,sBbl,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,tnote_10y,0,sEnv,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,DFX,0,tnote_10y,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,tnote_10y,0,fRpc,1
1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1->3,DInv,0,tnote_10y,0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2->3,rdsaRet,0,PCAsent,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2->2; 5->5,sp500Ret,0,rdsaRet,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,sp500Ret,0,PCAall,1
0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2->3,sp500Ret,0,PCAsent,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,sp500Ret,0,sRpc,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2->2; 6->6,rdsaRet,0,fEp,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2->2; 5->5,liquidity,0,rdsaRet,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BEME,0,rdsaRet,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,rdsaRet,0,fGom,1
0.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2->3,rdsaRet,0,sEnv,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,rdsaRet,0,PCAall,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2,6->7,sEp,1,artcount,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2->2; 5->5,DProd,0,rdsaRet,0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,6->7,DFX,0,sCo,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,rdsaRet,0,sGom,1
0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2->4,HedgPres,0,fEp,1
0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2->4,basis,0,DOilVol,0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2,6->7,basis,0,fEp,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2->2; 4->4; 7->7,basis,0,sEnv,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,6->7,basis,0,rdsaRet,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,WIPI_8wk,0,fEp,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,DProd,0,DOilVol,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BEME,0,WIPI_8wk,0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2->4,basis,0,sGom,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,DOilVol,0,sGom,1
0.0,1.0,1.0,1.0,0.0,0.0,1.0,3,2->4,DProd,0,PCAsent,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,HedgPres,0,basis,0
