"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,trend,0,vix_diff,0
-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,3->3,RPsdf_growing,0,DProd,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,InflaBeta,0,DFX,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,OpenInt,0,sBbl,1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,liquidity,0,PCAall,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,fBbl,1,fEpg,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3->3; 7->7,OpenInt,0,FutRet,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,PCAall,1,entropy,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,InflaBeta,0,fEnv,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,fGom,1,fEpg,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,liquidity,0,fGom,1
-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,RPsdf_rolling,0,DInv,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,FutRet,0,Mom,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,trend,0,sBbl,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BEME,0,DInv,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,PCAall,1,sGom,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,OpenInt,0,HedgPres,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,tnote_10y,0,InflaBeta,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,PCAall,1,fEpg,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,sRpc,1,fRpc,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,sGom,1,fGom,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,trend,0,DProd,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,OpenInt,0,PCAall,1
