"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,fEnv,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,PCAfreq,1,entropy,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,sEnv,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,liquidity,0,fEpg,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,sCo,1,sEp,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,liquidity,0,sEpg,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,HedgPres,0,DProd,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,HedgPres,0,sEp,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,StikIdx,0,PCAfreq,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,PCAfreq,1
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1->1; 4->4; 7->7,fBbl,1,fGom,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,liquidity,0,DProd,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,PCAfreq,1,fRpc,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,PCAfreq,1,artcount,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,basis,0,PCAfreq,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,DSpot,0,fBbl,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,DInv,0,DSpot,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DSpot,0,sRpc,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,sEp,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,xomRet,0,sEp,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,PCAfreq,1,fEpg,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,DOilVol,0,PCAfreq,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,HedgPres,0,PCAfreq,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,PCAfreq,1,fGom,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,rdsaRet,0,PCAfreq,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,Mom,0,sp500Ret,0
