"","E_wti_fut_tr","E_sptr","E_ustreas","E_us6mo_tr","E_energy","r_wti_fut_tr","r_sptr","r_ustreas","r_us6mo_tr","r_energy"
"2001-12-10",0.0685480505883269,0.0861860022300013,0.0463463506955841,0,0.0537844011861931,-0.581241116623601,-0.142611464370662,0.0557358900548997,0,-0.172734162809124
"2001-12-11",0.0668539958987865,0.0842043333225829,0.0464066136912256,0,0.0528335744347897,-0.609614224107691,-0.168726849192561,0.0580241928013603,0,-0.186925447775451
"2001-12-12",0.0665297469076114,0.0839691082109439,0.0467634171418204,0,0.0521838514676797,-0.624590980804409,-0.17320305686971,0.0609185315988603,0,-0.199148129688411
"2001-12-13",0.0676406367053543,0.0859359054458291,0.0476443966912471,0,0.054164976993532,-0.62096048329615,-0.175985314166094,0.0537351218886973,0,-0.212301043646939
"2001-12-14",0.0665969573681014,0.0857326358275474,0.0476988180868578,0,0.0537890663466132,-0.585641858790071,-0.169177905696037,0.0518862787165185,0,-0.199737018298073
"2001-12-17",0.0666776624049429,0.0849939857271652,0.0478119529828715,0,0.0531978591577482,-0.589727930768516,-0.14059250328828,0.0477318049291868,0,-0.178670926656139
"2001-12-18",0.0675261305480306,0.0860077971274309,0.0485884146007109,0,0.0531004800858919,-0.583874696524267,-0.136444655610552,0.0531787425187118,0,-0.193284021425363
"2001-12-19",0.0684652030802497,0.0872608140138901,0.0488774991089449,0,0.0539356636969426,-0.580436830828324,-0.111866559953105,0.0531722507357493,0,-0.184386397774315
"2001-12-20",0.0696082608443312,0.0876267955810438,0.0489120161735127,0,0.053954160604946,-0.606430853343611,-0.125296091495824,0.0531577330578378,0,-0.184771114709368
"2001-12-21",0.0692377125097345,0.0875259469037462,0.0489381841251832,0,0.0538074200465552,-0.555949516853593,-0.111296993292373,0.0496341287167295,0,-0.169242812495067
"2001-12-24",0.0683659739027398,0.0872293051994907,0.0489214870583033,0,0.0549489794234855,-0.567784061916789,-0.115952225130014,0.0456046200597927,0,-0.136146756408961
"2001-12-27",0.0767662650290634,0.0885088780460221,0.0493134111932182,0,0.0568627548958263,-0.479106686610572,-0.0886416857374427,0.0450649755325364,0,-0.101216234527969
"2001-12-28",0.0731540043960482,0.0884234196087377,0.0491022645946099,0,0.0573569218397526,-0.449282355670172,-0.085290993034436,0.0465375124436522,0,-0.104307601977884
"2001-12-31",0.0719248214559587,0.0879021408799167,0.049355112900203,0,0.057225871861969,-0.452419341451714,-0.103674251498694,0.0518517045097011,0,-0.118038500710314
"2002-01-03",0.078971116407917,0.0820820073446795,0.0486918906325189,0,0.0582923190333487,-0.428695347425456,-0.133243159196054,0.0490650406424076,0,-0.109463675935995
"2002-01-04",0.079877936376903,0.0830159907869234,0.0484569200403482,0,0.0598077857309473,-0.378119288972403,-0.108834609838972,0.0431994116468458,0,-0.0747592896402313
"2002-01-07",0.0791659283875156,0.0823770131499932,0.049056895349983,0,0.0596398856628445,-0.367702347103936,-0.109336543804819,0.0490693330038238,0,-0.0986428976376622
"2002-01-08",0.0791695992208692,0.0825465909523615,0.0490492264160696,0,0.0597449034645708,-0.347216137584624,-0.13210876354813,0.0510116449106726,0,-0.10389544258388
"2002-01-09",0.0792646592917642,0.0824028091778646,0.0490441874471185,0,0.0601840189895439,-0.432206463311709,-0.144231933606184,0.0518917363186469,0,-0.0989101573418326
"2002-01-10",0.080837917831819,0.0825929596887092,0.0497911494140768,0,0.0600233056204859,-0.425054219715042,-0.13628716400724,0.0576122387991915,0,-0.111695914070664
"2002-01-11",0.0803312799806293,0.082386375941613,0.0499128961174882,0,0.0593455850291819,-0.422077948501757,-0.137581313604992,0.0587088863266867,0,-0.132265839914845
"2002-01-14",0.0819518151462942,0.0825440083390679,0.0499413099858204,0,0.0595354477530343,-0.432027188770841,-0.129686723946193,0.0558141444004137,0,-0.119995430307804
"2002-01-15",0.0827504842190233,0.0825067490105933,0.0500952712842114,0,0.0602817961486933,-0.455826632073758,-0.101218047080311,0.0567655560963207,0,-0.100325810204968
"2002-01-16",0.0814167242827154,0.0830574579251726,0.0501280558501001,0,0.0604326391937615,-0.480262983704177,-0.125296674849124,0.0553310053234143,0,-0.139232012418893
"2002-01-17",0.0832750977782532,0.0813025093026268,0.0503982132304618,0,0.0611635107093357,-0.501809138884633,-0.102139207059778,0.0520624945806415,0,-0.149465273739616
"2002-01-18",0.0794118590801692,0.0794897249995031,0.0506583411765298,0,0.0600769718963221,-0.421824190204823,-0.0806502430605106,0.0510734775520506,0,-0.134609281767578
"2002-01-23",0.0764580859669112,0.0782560083693807,0.0509371687842478,0,0.0579377307372955,-0.402529986722689,-0.0805650318963228,0.0425433461435077,0,-0.109538433056077
"2002-01-24",0.0755355607536363,0.076072910587924,0.0508296313698239,0,0.0564433382847476,-0.399927956848926,-0.101290405448201,0.040112564827065,0,-0.119672681141139
"2002-01-25",0.0756935917459402,0.0763769644657796,0.0507496107343502,0,0.0567696215637293,-0.396241839328708,-0.110799956399196,0.0422323115856981,0,-0.127301206670363
"2002-01-28",0.0753737987631668,0.0764595137338787,0.0507435408400875,0,0.0568913924124525,-0.369680419860307,-0.114836909120691,0.0436059301036199,0,-0.129307998689989
"2002-01-29",0.0753910740507493,0.0758423038793289,0.050849669764859,0,0.0564589055616564,-0.429831042482079,-0.132771184102257,0.0493392733000747,0,-0.14678107593096
"2002-01-30",0.075756058511441,0.0771069458007087,0.0506457095491671,0,0.056108705412259,-0.484370574120352,-0.170964978122925,0.0584771916616617,0,-0.1205201051731
"2002-01-31",0.0751931216772639,0.0777212777138297,0.0503032369790195,0,0.0573611471529113,-0.468371362487265,-0.145242349585351,0.0505408077524296,0,-0.0853402860982959
