"","E_wti_fut_tr","E_sptr","E_ustreas","E_us6mo_tr","E_energy","r_wti_fut_tr","r_sptr","r_ustreas","r_us6mo_tr","r_energy"
"2018-07-03",0.0504110475201315,0.0272306961068249,0.0105761926337844,0,0.0380960073922896,0.49769770106053,0.160205879225052,-0.0403684230907533,0,0.199528373995084
"2018-07-06",0.050838800560975,0.027907258896786,0.0106164899219726,0,0.0384435971463997,0.52142860247681,0.160360078819418,-0.0382576500263211,0,0.208741029112668
"2018-07-09",0.0508475598557824,0.0280819968907831,0.0105950944017408,0,0.0386750950122432,0.542914449903414,0.176122270540173,-0.0420720711785068,0,0.239847289867954
"2018-07-10",0.0503778885871271,0.028114751602503,0.0105883694144446,0,0.0385607809159091,0.569832262961418,0.180070465989616,-0.0429686989675158,0,0.258787532695406
"2018-07-11",0.0511330796430632,0.0282570320072384,0.0105450901378455,0,0.0388287034542987,0.514280816403751,0.173381953640667,-0.0415850696250777,0,0.238307617339176
"2018-07-12",0.0511121059829026,0.0285396166030799,0.0105210434951531,0,0.0386957451531248,0.511900447636031,0.180629243443614,-0.042561642407479,0,0.231513370761925
"2018-07-13",0.051438111283715,0.028596793276836,0.01057825018048,0,0.0389107914627606,0.51207404118959,0.181343498746377,-0.0419975559587981,0,0.23573450504339
"2018-07-16",0.054134747641853,0.0281996080620236,0.01048944001182,0,0.0394724571344753,0.45117445008163,0.188394032369526,-0.0405981609291923,0,0.220574976042584
"2018-07-17",0.0539603874191137,0.028174197706343,0.010490677532931,0,0.0392801939452048,0.441205086214191,0.18333362497645,-0.0401694576987642,0,0.209055413258282
"2018-07-18",0.0542458132365333,0.0277593453815201,0.0103762738479959,0,0.0392098303652282,0.44571717728322,0.194019686690876,-0.038670331266761,0,0.207677423025138
"2018-07-19",0.0548352535023693,0.0275778412633031,0.0104325896514196,0,0.0393534081443882,0.42822793625119,0.188545560194992,-0.0355335482466137,0,0.213158394042594
"2018-07-20",0.054933539156953,0.0276082228715985,0.0104829182932963,0,0.039417346804745,0.406083802518017,0.185193770202057,-0.0361575756449557,0,0.197497816113963
"2018-07-23",0.0555042796441482,0.0270669839001095,0.0105472976938466,0,0.0391645760057041,0.392106618871515,0.196003118704952,-0.0380089339490931,0,0.201060125295331
"2018-07-24",0.055058198543107,0.0275130737953346,0.0105714247093491,0,0.0395373836935137,0.429717282003195,0.194379301099983,-0.0357590953427913,0,0.214978899828183
