,date_thurs,Artcount,Entropy,ftopic1,ftopic2,ftopic3,ftopic4,ftopic5,ftopic6,ftopic7,stopic1,stopic2,stopic3,stopic4,stopic5,stopic6,stopic7,artcount_4wk,entropy_4wk,ftopic1_4wk,ftopic2_4wk,ftopic3_4wk,ftopic4_4wk,ftopic5_4wk,ftopic6_4wk,ftopic7_4wk,stopic1_4wk,stopic2_4wk,stopic3_4wk,stopic4_4wk,stopic5_4wk,stopic6_4wk,stopic7_4wk,PCAsent,PCAfreq,PCAall
0,1998-04-09,173.60000610351562,2.3112761974334717,0.045578524470329285,0.463620662689209,0.018436705693602562,0.3031730651855469,0.050784382969141006,0.030433015897870064,0.025407541543245316,-0.0003860275901388377,-0.0090093445032835,-0.00027566999779082835,-0.006375477649271488,-0.0005262140184640884,-0.00041694039828144014,-0.00039721818757243454,,,,,,,,,,,,,,,,,,,
1,1998-04-16,167.60000610351562,2.3271005153656006,0.05481109768152237,0.48401162028312683,0.006086241453886032,0.29243242740631104,0.05162881314754486,0.035568416118621826,0.03490119427442551,-0.0008611755911260843,-0.00723806768655777,-6.40758007648401e-05,-0.0056328075006604195,-0.00043433019891381264,-0.0004384455969557166,-0.0005877070361748338,,,,,,,,,,,,,,,,,,,
2,1998-04-23,209.1999969482422,2.3230485916137695,0.06809636950492859,0.47524264454841614,0.01819899119436741,0.2772674262523651,0.04841039702296257,0.02800852432847023,0.030796051025390625,-0.0008547288016416132,-0.008036348968744278,-0.00014574319357052445,-0.004848354496061802,-0.0004361306200735271,-0.0004814004059880972,-0.0004496239998843521,,,,,,,,,,,,,,,,,,,
3,1998-04-30,252.8000030517578,2.306251287460327,0.06568728387355804,0.4320954382419586,0.029266538098454475,0.2899903953075409,0.05358511209487915,0.032629720866680145,0.03351825475692749,-0.0008268061792477965,-0.0065413545817136765,-0.0007263331790454686,-0.004998956806957722,-0.00045308118569664657,-0.000572961987927556,-0.0003482626052573323,,,,,,,,,,,,,,,,,,,
4,1998-05-07,218.60000610351562,2.280482292175293,0.0720100924372673,0.45047348737716675,0.023096006363630295,0.26654332876205444,0.08373323827981949,0.026766149327158928,0.027326222509145737,-0.0014257379807531834,-0.00734098581597209,-0.00012447799963410944,-0.005054389592260122,-0.000465718621853739,-0.000801319198217243,-0.00036248238757252693,204.36,2.3096318,0.061236672,0.46108878,0.019016897,0.28588134,0.05762839,0.030681165,0.030389853,-0.0008708952,-0.0076332204,-0.00026726004,-0.005381997,-0.00046309494,-0.0005422135,-0.00042905885,-2.091433048248291,2.636312961578369,3.542708396911621
5,1998-05-14,237.60000610351562,2.3038253784179688,0.06314224749803543,0.46242275834083557,0.014320885762572289,0.27909111976623535,0.0794934332370758,0.03658401221036911,0.030216874554753304,-0.0009004388120956719,-0.006720301695168018,-0.0002480453986208886,-0.004542443435639143,-0.00047482960508204997,-0.0007923282100819051,-0.00048360301298089325,217.16,2.3081417,0.06474942,0.4608492,0.018193733,0.28106493,0.0633702,0.031911366,0.03135172,-0.0009737775,-0.0071754116,-0.0002617351,-0.0050153905,-0.00045281806,-0.0006172911,-0.00044633582,-1.9779061079025269,2.7885208129882812,3.554957866668701
6,1998-05-21,222.39999389648438,2.312865734100342,0.06896157562732697,0.4419780373573303,0.010189177468419075,0.3093981146812439,0.07565087080001831,0.03872533142566681,0.03302733600139618,-0.0009204953676089644,-0.006783364340662956,-0.0002407927968306467,-0.005937039852142334,-0.0006844511954113841,-0.0006659086211584508,-0.0005331378197297454,228.12,2.3052948,0.067579515,0.45244247,0.01901432,0.28445807,0.06817461,0.032542747,0.030976947,-0.0009856414,-0.007084471,-0.0002970785,-0.005076237,-0.00050284225,-0.0006627837,-0.00043542197,-1.9002399444580078,2.7681450843811035,3.4585742950439453
7,1998-05-28,193.8000030517578,2.309760808944702,0.06245368719100952,0.45225322246551514,0.009821565821766853,0.2872539758682251,0.05215437710285187,0.050737883895635605,0.030666504055261612,-0.0007159925880841911,-0.005662050098180771,-9.719720401335508e-05,-0.0039440845139324665,-0.0005589743959717453,-0.0008707531960681081,-0.0002428526058793068,225.04001,2.302637,0.066450976,0.4478446,0.017338835,0.2864554,0.06892341,0.037088618,0.030951038,-0.0009578942,-0.006609611,-0.0002873693,-0.004895383,-0.000527411,-0.00074065424,-0.0003940677,-2.0052244663238525,3.151865005493164,3.8065669536590576
8,1998-06-04,234.60000610351562,2.314823627471924,0.062132928520441055,0.4551364779472351,0.019702402874827385,0.31562918424606323,0.04536762088537216,0.029808510094881058,0.031238332390785217,-0.0006715334020555019,-0.006352616939693689,-0.0005987111944705248,-0.0061522480100393295,-0.0004448954132385552,-0.00041132260230369866,-0.00041197138489224017,221.40001,2.3043516,0.06574011,0.4524528,0.015426008,0.29158315,0.067279905,0.036524378,0.030495053,-0.00092683965,-0.006571864,-0.00026184492,-0.005126041,-0.00052577385,-0.00070832635,-0.00040680944,-1.965260624885559,3.1445395946502686,3.7848927974700928
9,1998-06-11,230.39999389648438,2.303908348083496,0.05545216426253319,0.5234588384628296,0.009388611651957035,0.26116377115249634,0.05862389877438545,0.029366888105869293,0.03376157581806183,-0.0007167898002080619,-0.008944457396864891,-0.00016705220332369208,-0.005440793465822935,-0.0005822574021294713,-0.000690543616656214,-0.000389512802939862,223.76,2.3090367,0.06242852,0.46704987,0.012684529,0.29050723,0.06225804,0.037044525,0.031782124,-0.00078505,-0.006892558,-0.00027035977,-0.005203322,-0.0005490816,-0.00068617123,-0.00041221554,-2.1512348651885986,3.2933177947998047,3.9897620677948
10,1998-06-18,227.0,2.3130321502685547,0.059901803731918335,0.5139327645301819,0.02047601155936718,0.2505483031272888,0.07187511771917343,0.025186525657773018,0.026277368888258934,-0.000847314833663404,-0.008385071530938148,-0.0005869921878911555,-0.004269137047231197,-0.0007749162032268941,-0.0004938947968184948,-0.0004342061874922365,221.64,2.310878,0.06178043,0.47735187,0.013915554,0.28479868,0.060734376,0.034765027,0.030994223,-0.0007744252,-0.007225512,-0.0003381491,-0.0051486604,-0.00060909893,-0.0006264846,-0.00040233615,-2.0437371730804443,3.194488048553467,3.861743211746216
11,1998-06-25,237.60000610351562,2.300855875015259,0.05036400631070137,0.5100499391555786,0.016200069338083267,0.27816617488861084,0.06632136553525925,0.024902278557419777,0.025218404829502106,-0.0006227450212463737,-0.007924964651465416,-0.0002800367947202176,-0.004479082301259041,-0.0004321803862694651,-0.00047337121213786304,-0.0003128324169665575,224.68001,2.3084762,0.058060918,0.49096626,0.015117732,0.2785523,0.058868475,0.03200042,0.029432436,-0.0007148751,-0.0074538323,-0.00034599792,-0.004857069,-0.00055864477,-0.00058797706,-0.00035827508,-2.3151602745056152,3.10093092918396,3.933293104171753
